anoMes;codigoPessoa;nomePessoa;tipoPessoa;municipioPessoa;siglaUFPessoa;codigoUG;nomeUG;codigoOrgao;nomeOrgao;codigoOrgaoSuperior;nomeOrgaoSuperior;valor;_anoConsulta
202002;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;158516;INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC;26438;Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina;26000;Ministério da Educação;5912.4;2020
202011;31.825.156/0001-35;NAUTICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;1245.0;2020
202004;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;22472334.38;2020
202010;82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;550005;COORDENACAO GERAL DE LICITACOES E CONTRATOS.;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;64.78;2020
202004;04.856.713/0001-02;CLINICA DE ESPORTE ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;6441.16;2020
202008;80.655.525/0001-02;CLINMEDI - CLINICA MEDICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;14093.91;2020
202007;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;135098;CAIXA ECONOMICA FEDERAL/MA;22000;Ministério da Agricultura e Pecuária - Unidades com vínculo direto;22000;Ministério da Agricultura e Pecuária;283757.34;2020
202005;82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;250110;SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;111.89;2020
202008;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;697.68;2020
202006;82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;110319;SECRETARIA DE COMUNICACAO SOCIAL/PR;20101;Presidência da República;20000;Presidência da República;44.17;2020
202010;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;693.1;2020
202004;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;255000;FUNDACAO NACIONAL DE SAUDE - DF;36211;Fundação Nacional de Saúde;36000;Ministério da Saúde;167114.84;2020
202008;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;443048;ICMBIO GR5 SUL;44207;Instituto Chico Mendes de Conservação da Biodiversidade;44000;Ministério do Meio Ambiente e Mudança do Clima;473.91;2020
202004;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;403.6;2020
202007;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;158516;INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC;26438;Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina;26000;Ministério da Educação;3639.1;2020
202006;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;330013;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;55001;Fundo Nacional de Assistência Social;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;945009.6;2020
202003;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;516.32;2020
202006;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;347.16;2020
202008;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;160446;62º BATALHAO DE INFANTARIA;52121;Comando do Exército;52000;Ministério da Defesa;12638.01;2020
202010;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1675013.26;2020
202012;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;56000;Ministério das Cidades - Unidades com vínculo direto;56000;Ministério das Cidades;872276.67;2020
202008;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;27843185.78;2020
