sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;33456;LAERTE DE ALMEIDA PELUSI;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169788;2045202024;SUL;228
SC;ITAJAÍ;Vereador;33111;MAURO FERREIRA DA SILVA;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169775;2045202024;SUL;12
SC;ITAJAÍ;Vereador;30222;RONEI PEREIRA EBERHARDT;NOVO;NOVO;1;Não eleito;13;81612;240002045919;2045202024;SUL;134
SC;ITAJAÍ;Vereador;30077;SILVIA JANINE RODRIGUES;NOVO;NOVO;1;Não eleito;13;81612;240002045936;2045202024;SUL;111
SC;ITAJAÍ;Vereador;44555;JORGE HENRIQUE VIEIRA;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974264;2045202024;SUL;76
SC;ITAJAÍ;Vereador;40077;MARCELO SCHAUFFERT PORTELA GONÇALVES;PSB;PSB;1;Não eleito;13;81612;240002231147;2045202024;SUL;14
SC;ITAJAÍ;Vereador;40123;ANDRÉ FELIPE DA VEIGA CUSTÓDIO;PSB;PSB;1;Não eleito;13;81612;240002231149;2045202024;SUL;58
SC;ITAJAÍ;Vereador;36777;ADIR PEREIRA DOS SANTOS;AGIR;AGIR;1;Não eleito;13;81612;240001944219;2045202024;SUL;179
SC;ITAJAÍ;Vereador;12001;ROGÉRIO FERREIRA DA SILVEIRA;PDT;PDT;1;Suplente;13;81612;240002115241;2045202024;SUL;31
SC;ITAJAÍ;Vereador;12555;VALDOMIRO SILVEIRA DE FREITAS;PDT;PDT;1;Suplente;13;81612;240002115247;2045202024;SUL;36
SC;ITAJAÍ;Vereador;12111;JENIFFER THAYSE DA COSTA DOS SANTOS;PDT;PDT;1;Suplente;13;81612;240002115254;2045202024;SUL;59
SC;ITAJAÍ;Vereador;13013;CARLOS ALBERTO DA COSTA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352290;2045202024;SUL;62
SC;ITAJAÍ;Vereador;25577;BIANCA DA SILVA VIDAL;PRD;PRD;1;Suplente;13;81612;240001881286;2045202024;SUL;35
SC;ITAJAÍ;Vereador;25005;SILVANA FARIAS DOS SANTOS;PRD;PRD;1;Suplente;13;81612;240001881291;2045202024;SUL;59
