ano,parlamentar,favorecido_consulta,cnpj_consulta,tipo_favorecido,funcao,subfuncao,fase,valor,data,documento
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,41.33,17/06/2026,193125192112026OB000423
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,31.87,24/04/2026,193125192112026OB000246
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,20 - Agricultura,125 - Normatização e fiscalização,PAGO,25.82,02/06/2026,130072000012026DR800004
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,EMPENHADO,25.26,15/01/2026,158516264382026NE000040
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,18 - Gestão ambiental,122 - Administração geral,PAGO,15.7,24/04/2026,193125192112026OB000239
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,LIQUIDADO,0.0,14/01/2026,158516264382026NS000426
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,LIQUIDADO,0.0,15/01/2026,158516264382026NS000459
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,10/02/2026,510181572022026NS009246
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,10/03/2026,510181572022026NS014101
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,363 - Ensino profissional,LIQUIDADO,0.0,10/03/2026,158516264382026NS005971
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,LIQUIDADO,0.0,17/03/2026,157241152532026NS001656
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,08/01/2026,510181572022026NS002269
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,LIQUIDADO,0.0,15/04/2026,157241152532026NS002161
